IDREF,Year_Reference,languages_Chinese,languages_English,languages_French,languages_Hindi,languages_Spanish,skill_SocialSciences,skill_Art,skill_Technology,missing_language,missing_skill,grade,exam_score,ProfileType,school,major,citizen_cntry,previous_degree,ethnicity,previous_state,male_gender,international,year_birth
542,2012,0,0,0,0,0,0,0,0,1,1,3.3570001,690,Others,UPOLITECHDECATALUNYA,Engineering,Spain,,,ForeignCountry,1,1,1983
543,2012,0,0,0,0,0,0,0,0,1,1,3.1700001,730,Investments,COLLEGEHOLYCROSS,Economics,USA,BachelorofArts,,Massachusetts,1,0,1981
544,2012,0,0,0,0,0,0,0,0,1,1,3.3770001,680,Others,MIAMIUNIVERSITY,Marketing,USA,BachelorofScience,,NewYork,0,0,1982
545,2012,0,0,0,0,0,0,0,0,1,1,3.878,770,Production,UNIVERSITYPENNSYLVANIA,Economics,USA,BachelorofScience,,NewYork,1,0,1985
546,2012,0,0,0,0,0,0,0,0,1,1,3.891,750,Investments,AMHERSTCOLLEGE,OtherHumanities,USA,BachelorofArts,,NewYork,1,0,1984
547,2012,0,0,0,0,0,0,0,0,1,1,3.451,700,Client_oriented,BOSTONUNIVERSITY,CommunicationAndJournalism,USA,BachelorofScience,,NewJersey,0,0,1984
548,2012,0,0,0,0,0,0,0,0,1,1,3.5339999,770,Others,SEOULNATIONALUNIV,Engineering,Korea,BachelorofScience,,ForeignCountry,1,1,1974
549,2012,0,0,0,0,0,0,0,0,1,1,3.4100001,740,Investments,BOSTONCOLLEGE,Finance,USA,BachelorofScience,,NewYork,1,0,1983
550,2012,0,0,0,0,0,0,0,0,1,1,2.783,660,Unknown,SYRACUSEUNIVERSITY,Economics,USA,BachelorofArts,,NewJersey,1,0,1986
551,2012,0,0,0,0,0,0,0,0,1,1,3.45,630,Client_oriented,COLUMBIAUNIVCOLUMBIACOLL,OtherSocial,NewZealand,BachelorofArts,,NewYork,0,1,1982
552,2012,0,0,0,0,0,0,0,0,1,1,3.3499999,660,Others,INDIANAUNIVERSITY,Other,USA,BachelorofScience,,Indiana,0,0,1984
553,2012,0,0,0,0,0,0,0,0,1,1,3.5699999,690,Others,WASHINGTONUNIVERSITY,Finance,USA,BachelorofScience,,Pennsylvania,1,0,1982
554,2012,0,0,0,0,0,0,0,0,1,1,3.562,720,Client_oriented,NORTHWESTERNUNIVERSITY,Economics,USA,BachelorofArts,,Pennsylvania,1,0,1983
555,2012,0,0,0,0,0,0,0,0,1,1,3.214,720,Client_oriented,YONSEIUNIV,ComputerScience,Korea,BachelorofScience,,ForeignCountry,1,1,1979
556,2012,0,0,0,0,0,0,0,0,1,1,3.48,700,Client_oriented,UFEDDORIODEJANEIRO,Economics,Brazil,BachelorofScience,,ForeignCountry,1,1,1986
557,2012,0,0,0,0,0,0,0,0,1,1,3.46,700,Others,BATESCOLLEGE,PoliticalScience,USA,BachelorofArts,,NewYork,0,0,1983
558,2012,0,0,0,0,0,0,0,0,1,1,3.4200001,710,Unknown,UDURHAM,Economics,UnitedKingdom,BachelorofArts,,NewYork,1,1,1979
559,2012,0,0,0,0,0,0,0,0,1,1,3.4630001,650,Investments,BROWNUNIVERSITY,OtherBusiness,USA,BachelorofArts,,Missouri,1,0,1984
560,2012,0,0,0,0,0,0,0,0,0,0,3.6300001,720,Others,UNIVERSITYPENNSYLVANIA,Finance,USA,BachelorofScience,,NewYork,1,0,1985
561,2012,0,0,0,0,0,0,0,0,1,1,3.3069999,630,Others,UNIVERSITYSOUTHERNCALIFORNIA,Finance,USA,BachelorofScience,,California,0,0,1984
562,2012,0,0,0,0,0,0,0,0,1,1,3.2869999,690,Client_oriented,UNIVERSITYCALIFORNIABERKELEY,OtherBusiness,USA,BachelorofScience,,California,0,0,1983
563,2012,0,0,0,0,0,0,0,0,1,1,3.1199999,760,Client_oriented,HARBININSTTECH\KONKUKUNIVERSITY,Engineering,Peop.Rep.China,BachelorofEngineering/ExecProgram,,NewJersey,1,1,1983
564,2012,0,0,0,0,0,0,0,0,1,1,3.4560001,690,Unknown,HARVARDUNIVINSTINTRNT'LDEV,Government,USA,BachelorofArts,,NewYork,0,0,1982
565,2012,0,0,0,0,0,0,0,0,1,1,3.48,720,Client_oriented,VILLANOVAUNIVERSITY,Economics,USA,BachelorofArts,,NewJersey,1,0,1983
566,2012,0,0,0,0,0,0,0,0,1,1,3.543,720,Client_oriented,,Accounting,Singapore,,,ForeignCountry,1,1,1981
567,2012,0,0,0,0,0,0,0,0,1,1,3.5650001,720,Others,,CommunicationAndJournalism,Australia,BachelorofArts,,ForeignCountry,1,1,1982
568,2012,0,0,0,0,0,0,0,0,1,1,3.1459999,660,Client_oriented,GENTU,Economics,Belgium,,,ForeignCountry,1,1,1983
569,2012,0,0,0,0,0,0,0,0,1,1,3.325,710,Unknown,UNIVERSITYIOWA,Finance,USA,BachelorofBusinessAdministration,,Minnesota,1,0,1982
570,2012,0,0,0,0,0,0,0,0,1,1,3.6099999,730,Others,OHIOSTATEUNIVERSITY,Finance,USA,BachelorofScience,,Ohio,1,0,1982
571,2012,0,1,0,0,1,0,0,1,0,0,3.28,700,Others,PONTUCATOLICACHILE,Engineering,Chile,BachelorofEngineering/ExecProgram,,ForeignCountry,1,1,1983
572,2012,0,0,0,0,0,0,0,0,1,1,3.3729999,750,Others,NORTHWESTERNUNIVERSITY,Economics,USA,BachelorofArts,,NewYork,1,0,1980
573,2012,0,0,0,0,0,0,0,0,1,1,3.5450001,740,Unknown,UniversityofLeeds,Other,USA,BachelorofArts,,NewYork,0,0,1984
574,2012,0,0,0,0,0,0,0,0,1,1,3.3829999,750,Unknown,UNIVERSITYCALIFORNIASANDIEGO,PoliticalScience,USA,BachelorofArts,,California,1,0,1985
575,2012,0,0,0,0,0,0,0,0,1,1,3.1800001,660,Others,UIBERO-AMERICA,Finance,Mexico,BachelorofArts,,ForeignCountry,1,1,1981
576,2012,0,0,0,0,0,0,0,0,1,1,3.152,700,Others,INSTTECAUTODEMEXICO(ITAM),Economics,Mexico,BachelorofArts,,ForeignCountry,1,1,1983
577,2012,0,1,0,0,0,0,0,0,0,0,3.234,680,Others,CORNELLUNIVERSITY,Finance,USA,BachelorofScience,,NewYork,0,0,1981
578,2013,0,1,0,0,1,0,0,0,0,0,3.4860001,700,Others,UNIVERSITYPENNSYLVANIA,OtherBusiness,USA,BachelorofScience,,NewYork,1,0,1983
579,2012,0,0,0,0,0,0,0,0,1,1,3.346,660,Investments,TEXASAMUNIVERSITY,Engineering,Colombia,BachelorofScience,,NewYork,1,1,1983
580,2012,0,0,0,0,0,0,0,0,1,1,3.408,700,Unknown,UNIVERSITYPENNSYLVANIA,Economics,USA,BachelorofArts,,NewYork,0,0,1984
581,2012,0,0,0,0,0,0,0,0,1,1,3.5799999,760,Investments,UNIVERSITYPENNSYLVANIA,Finance,Peop.Rep.China,BachelorofScience,,NewJersey,0,1,1985
582,2012,0,0,0,0,0,0,0,0,1,1,3.615,720,Unknown,BOSTONCOLLEGE,Accounting,USA,BachelorofScience,,Connecticut,1,0,1982
583,2012,0,0,0,0,1,0,0,0,0,1,3.47,680,Others,UNIVERSITYCALIFORNIASANTABARBARA,Economics,USA,BachelorofArts,,California,1,0,1980
584,2012,0,0,0,0,0,0,0,0,1,1,3.378,660,Investments,SYRACUSEUNIVERSITY,Accounting,USA,BachelorofScience,,NewYork,1,0,1982
585,2012,0,0,0,0,0,0,0,0,1,1,3.1199999,690,Unknown,JOHNSHOPKINSUNIVERSITY,OtherSocial,USA,BachelorofArts,,NewJersey,0,0,1982
586,2012,1,1,0,0,0,0,0,0,0,0,3.6689999,720,Client_oriented,CARNEGIE-MELLONUNIVERSITY,Other,USA,BachelorofScience,,NewYork,1,0,1983
587,2012,0,0,0,0,0,0,0,0,1,1,3.2130001,580,Others,WESLEYANUNIVERSITY,History,USA,BachelorofArts,,NewYork,0,0,1983
588,2012,0,0,0,0,0,0,0,0,1,1,3.8599999,760,Others,CORNELLUNIVERSITY,Engineering,USA,BachelorofScience,,Massachusetts,1,0,1985
589,2012,0,1,0,0,1,0,0,0,0,0,3.523,640,Unknown,,Finance,USA,BachelorofScience,,Massachusetts,0,0,1983
590,2012,0,0,0,0,0,0,0,0,1,1,3.4300001,670,Others,UNIVERSITYWISCONSIN,OtherBusiness,USA,BachelorofBusinessAdministration,,NewYork,1,0,1982
591,2012,0,1,0,0,1,0,0,0,0,0,2.9300001,720,Unknown,PONTIFICIAUNIVERSIDADCATOLICAMADREYMAEST,Economics,DominicanRep.,,,ForeignCountry,1,1,1983
592,2012,0,0,0,0,0,0,0,0,1,1,3.4400001,640,Client_oriented,UNIVERSITYSOUTHERNCALIFORNIA,OtherBusiness,USA,BachelorofArts,,Minnesota,1,0,1983
593,2012,0,0,0,0,0,0,0,0,1,1,3.2279999,700,Client_oriented,PRINCETONUNIVERSITY,Economics,USA,BachelorofArts,,NewYork,1,0,1983
594,2012,0,0,0,0,0,0,0,0,1,1,3.2090001,610,Unknown,TENNESSEESTATEUNIVERSITY,Engineering,USA,BachelorofScience,,Alabama,0,0,1979
595,2012,0,0,0,0,0,0,0,0,1,1,3.2550001,730,Unknown,CORNELLUNIVERSITY,IndustralRelations,USA,BachelorofScience,,NewJersey,1,0,1984
596,2012,0,0,0,0,0,1,0,0,0,1,3.378,750,Client_oriented,UNIVERSITYCALIFORNIAIRVINE,Economics,USA,BachelorofArts,,NewYork,1,0,1982
597,2012,0,0,0,0,0,0,0,0,1,1,3.2980001,730,Investments,UNIVERSITYPENNSYLVANIA,Finance,USA,BachelorofScience,,NewYork,1,0,1986
598,2012,0,0,0,0,1,0,0,0,0,0,3.3900001,700,Others,LASALLEURAMONLLULL,Engineering,Andorra,,,ForeignCountry,1,1,1979
599,2012,0,0,0,0,0,0,0,0,1,1,3.487,750,Unknown,UNIVERSITYVIRGINIA,ComputerScience,USA,BachelorofScience,,Virginia,1,0,1984
600,2012,0,0,0,0,0,0,0,0,1,1,3.5250001,730,Unknown,UCATOLICA/ARGENTINA,OtherBusiness,Argentina,BachelorofArts,,ForeignCountry,1,1,1984
601,2012,0,0,0,0,0,0,0,0,1,1,3.4549999,710,Client_oriented,UNIVERSITYMICHIGAN,Management,USA,BachelorofBusinessAdministration,,Michigan,0,0,1984
602,2012,0,0,0,0,0,0,0,0,1,1,3.428,680,Production,CORNELLUNIVERSITY,Psychology,USA,BachelorofArts,,NewYork,0,0,1984
603,2012,0,0,0,0,0,0,0,0,1,1,3.8099999,780,Investments,,Engineering,UnitedKingdom,BachelorofArts,,ForeignCountry,1,1,1982
604,2012,0,0,0,0,0,0,0,0,1,1,3.27,740,Client_oriented,UNIVERSITYVIRGINIA,BiologicalSciences,Ghana,BachelorofArts,,Virginia,0,1,1984
605,2012,0,0,0,0,0,0,0,0,1,1,3.4809999,740,Others,DUKEUNIVERSITY,OtherSocial,USA,BachelorofArts,,Texas,1,0,1983
606,2012,0,0,0,0,0,0,0,0,1,1,3.2950001,720,Others,SEOULNATIONALUNIV,Management,Korea,BachelorofBusinessAdministration,,ForeignCountry,1,1,1983
607,2012,0,1,0,1,0,0,0,1,0,0,3.767,760,Investments,INDIANINSTITUTEOFTECH,ComputerScience,India,BachelorofTechnology,,ForeignCountry,1,1,1980
608,2012,0,0,0,0,0,0,0,0,1,1,3.115,680,Unknown,UNIVERSITYPENNSYLVANIA,PoliticalScience,ElSalvador,BachelorofArts,,ForeignCountry,0,1,1984
609,2012,0,0,0,0,1,0,0,0,0,1,3.3699999,740,Investments,BUCKNELLUNIVERSITY,Accounting,USA,,,NewYork,1,0,1982
610,2012,0,0,0,0,0,0,0,0,1,1,,,Investments,,,,,,,1,1,
611,2012,0,0,0,0,0,0,0,0,1,1,3.4449999,740,Others,SHANGHAIJIAOTONGUNIV,Engineering,Peop.Rep.China,BachelorofEngineering/ExecProgram,,ForeignCountry,0,1,1984
612,2012,0,0,0,0,0,0,0,0,1,1,3.6700001,750,Investments,,Engineering,India,,,ForeignCountry,1,1,1984
613,2012,0,1,1,0,1,0,0,0,0,1,3.085,640,Unknown,BROWNUNIVERSITY,IndustrialRelations,USA,BachelorofArts,,NewYork,0,0,1979
614,2012,0,0,0,0,0,0,0,0,1,1,3.276,720,Investments,UNIVERSITYTEXAS,ComputerScience,Pakistan,BachelorofScience,,ForeignCountry,1,1,1982
615,2013,0,0,0,0,0,0,0,0,1,1,3.5323529,0,Others,UNIVERSITYPENNSYLVANIA,OtherScience,USA,BachelorofArts,WhiteNon-hispanic,California,0,0,1983
616,2014,0,0,0,0,0,0,0,0,1,1,3.378,700,Unknown,UPARIS,Finance,France,BachelorofScience,,ForeignCountry,1,1,1980
617,2012,0,1,0,0,0,0,0,1,0,0,3.493,720,Client_oriented,,Engineering,Israel,BachelorofScience,,NewYork,1,1,1982
618,2012,0,0,0,0,0,0,0,0,1,1,3.77,760,Investments,EMORYUNIVERSITY,Finance,USA,BachelorofBusinessAdministration,,NewYork,1,0,1983
619,2012,0,0,0,0,0,0,0,0,1,1,3.737,770,Investments,BRANDEISUNIVERSITY,Economics,Portugal,BachelorofArts,,ForeignCountry,1,1,1982
620,2012,0,0,0,0,0,0,0,0,1,1,3.5650001,700,Production,UNIVERSITYMICHIGAN,Engineering,USA,BachelorofScience,,NewYork,0,0,1977
621,2012,0,0,0,0,0,0,0,0,1,1,3.293,730,Unknown,FORDHAMCOLLEGE,Finance,USA,BachelorofScience,,NewYork,1,0,1985
622,2012,0,0,0,0,0,0,0,0,1,1,3.48,710,Investments,DARTMOUTHCOLLEGE,Economics,USA,BachelorofArts,,Texas,1,0,1982
623,2012,0,0,0,0,0,0,0,0,1,1,3.247,740,Others,BOSTONCOLLEGE,Management,Korea,BachelorofScience,,ForeignCountry,0,1,1980
624,2012,0,0,0,0,0,0,0,0,1,1,3.4949999,710,Others,NORTHCAROLINASTATEUNIVERSITY,Management,USA,BachelorofScience,,NorthCarolina,1,0,1985
625,2015,0,0,0,0,0,0,0,0,1,1,3.1676471,0,Unknown,SUNYBINGHAMTON,BiologicalSciences,USA,BachelorofArts,BlackNon-hispanic,NewYork,1,0,1988
626,2013,0,0,0,0,0,0,0,0,1,1,3.4089999,730,Unknown,RENESSELAERPOLYTECHNICINSTITUTE,ComputerScience,USA,BachelorofScience,WhiteNon-hispanic,NorthCarolina,1,0,1984
627,2013,0,0,0,0,0,0,0,0,1,1,3.5650001,750,Others,UNIVERSITYVIRGINIA,FineArts,USA,BachelorofArts,WhiteNon-hispanic,NewYork,1,0,1981
628,2012,0,0,0,0,0,0,0,0,1,1,3.612,740,Others,UNIVERSITYWISCONSIN,Engineering,USA,BachelorofScience,,Minnesota,1,0,1978
629,2012,0,0,0,0,0,0,0,0,1,1,3.4400001,740,Client_oriented,TULANEUNIVERSITY,Finance,USA,BachelorofScience,,Pennsylvania,1,0,1985
630,2012,0,1,0,0,1,0,0,0,0,1,3.763,710,Others,VASSARCOLLEGE,Economics,USA,BachelorofArts,,NewYork,0,0,1981
631,2012,0,0,0,0,0,0,0,0,1,1,3.53,630,Investments,UNIVERSITYVIRGINIA,Finance,Spain,BachelorofScience,,NewYork,0,1,1983
632,2012,0,0,0,0,0,0,0,0,1,1,3.26,710,Others,INDIANAUNIVERSITY,Marketing,USA,BachelorofScience,,Maryland,0,0,1984
633,2012,0,0,0,0,0,0,0,0,1,1,3.4400001,0,Others,COLGATEUNIVERSITY,Psychology,USA,BachelorofArts,,California,1,0,1980
634,2012,0,0,0,0,0,0,0,0,1,1,3.618,620,Unknown,UNIVERSITYKANSAS,Engineering,SaudiArabia,BachelorofScience,,Virginia,1,1,1983
635,2012,0,0,0,0,0,0,0,0,1,1,3.095,650,Client_oriented,EMERSONCOLLEGE,Other,USA,BachelorofArts,,NewYork,0,0,1985
636,2012,0,0,0,0,0,0,0,0,1,1,3.7130001,730,Client_oriented,JOHNSHOPKINSUNIVERSITY,Engineering,USA,BachelorofScience,,NewYork,1,0,1981
637,2012,0,0,0,0,0,0,0,0,1,1,3.346,660,Others,COLUMBIAUNIVSCHGENRLSTDS,PoliticalScience,USA,BachelorofArts,,NewYork,0,0,1983
638,2012,0,0,0,0,0,0,0,0,1,1,3.332,740,Unknown,PENNSYLVANIASTATEUNIVERSITY,Accounting,USA,BachelorofScience,,NewJersey,1,0,1983
639,2012,0,0,0,0,0,0,0,0,1,1,3.747,680,Client_oriented,AMERICANUNIVERSITYOFBULGARIA,OtherBusiness,Mongolia,BachelorofArts,,NewYork,0,1,1986
640,2012,0,0,0,0,0,0,0,0,1,1,3.217,660,Investments,WASHINGTONUNIVERSITY,Architecture,USA,BachelorofArts,,NewYork,1,0,1983
641,2012,0,0,0,0,0,0,0,0,1,1,3.5999999,720,Others,UNIVERSITYTEXAS,Engineering,USA,BachelorofScience,,Texas,1,0,1981
642,2012,0,0,0,0,0,0,0,0,1,1,3.882,720,Unknown,UNIVILLINOISURBANA,Engineering,USA,BachelorofScience,,Illinois,1,0,1979
643,2012,0,0,0,0,0,0,0,0,1,1,3.8399999,770,Client_oriented,BOSTONUNIVERSITY,Economics,USA,BachelorofArts,,NewYork,1,0,1984
644,2012,0,1,1,1,1,1,0,0,0,1,3.375,700,Others,UNIVERSITYNOTREDAME,Finance,Neth.Antilles,BachelorofArts,,NewYork,1,1,1983
645,2012,0,0,0,0,1,1,0,0,0,1,3.6700001,740,Investments,UNIVERSITYCHICAGO,Economics,USA,BachelorofArts,,Illinois,1,0,1983
646,2012,0,1,0,0,0,0,0,1,0,0,3.335,720,Others,UNIVILLINOISURBANA,ComputerScience,USA,BachelorofScience,,Illinois,1,0,1984
647,2012,0,0,0,0,0,0,0,0,1,1,3.0940001,630,Unknown,TRINITYCOLLEGE,Economics,USA,BachelorofArts,,NewYork,0,0,1984
648,2012,0,0,0,0,0,0,0,0,1,1,3.108,640,Investments,PROVIDENCECOLLEGE,Finance,USA,BachelorofScience,,NewYork,1,0,1980
649,2012,0,0,0,0,0,0,0,0,1,1,3.4419999,640,Production,UNIVERSITYTEXAS,Marketing,USA,BachelorofBusinessAdministration,,NewYork,0,0,1984
650,2012,0,0,0,0,0,0,0,0,1,1,3.1059999,770,Unknown,UNIVERSITYNORTHCAROLINA,History,USA,BachelorofArts,,Maryland,1,0,1981
651,2012,0,0,0,0,0,0,0,0,1,1,3.342,610,Investments,UNITEDSTATESAIRFORCEACADEMY,Engineering,USA,BachelorofScience,,DistrictofColumbia,1,0,1978
652,2012,0,0,0,0,0,0,0,0,1,1,3.059,640,Unknown,IBMEC,Management,Brazil,BachelorofArts,,ForeignCountry,1,1,1983
653,2012,0,0,0,0,0,0,0,0,1,1,3.556,770,Client_oriented,UNIVCALIFORNIALOSANGELES,Other,USA,BachelorofArts,,NewYork,1,0,1982
654,2012,1,0,0,0,0,0,0,0,0,0,3.2,760,Investments,PEKINGUNIVERSITY,Law,Peop.Rep.China,BachelorofArts,,NewYork,1,1,1979
655,2012,0,0,0,0,0,0,0,0,1,1,3.7969999,750,Others,TUFTSUNIVERSITY,Economics,USA,BachelorofArts,,NewYork,0,0,1982
656,2012,0,0,0,0,0,0,0,0,0,1,3.303,650,Unknown,KEIOUNIV,Law,Japan,BachelorofArts,,ForeignCountry,1,1,1982
657,2012,0,0,0,0,0,0,0,0,1,0,3.648,710,Client_oriented,UNIVERSITYCALIFORNIABERKELEY,PoliticalScience,USA,BachelorofArts,,DistrictofColumbia,1,0,1982
658,2012,0,0,0,0,0,0,0,0,1,1,3.928,740,Others,,OtherBusiness,Canada,BachofCommerce,,ForeignCountry,1,1,1985
659,2011,0,1,1,0,0,0,0,0,0,0,3.5550001,690,Unknown,PACEUNIVERSITY,Finance,USA,BachelorofBusinessAdministration,,NewYork,1,0,1982
660,2012,0,0,0,0,0,0,0,0,1,1,3.779,780,Investments,CORNELLUNIVERSITY,Economics,USA,BachelorofArts,,NewYork,1,0,1983
661,2012,1,1,0,0,0,0,0,0,0,0,3.6029999,730,Others,,Other,Singapore,BachelorofScience,,ForeignCountry,0,1,1979
662,2012,0,0,0,0,0,0,0,0,1,1,3.6370001,700,Client_oriented,PRINCETONUNIVERSITY,English,USA,BachelorofArts,,Texas,0,0,1985
663,2012,0,0,0,0,0,0,0,0,1,1,3.582,720,Investments,GEORGIAINSTITUTETECHNOLOGY,Engineering,USA,BachelorofScience,,NewYork,1,0,1981
664,2012,0,0,0,0,0,0,0,0,1,1,3.642,670,Investments,TULANEUNIVERSITY,Finance,USA,,,Louisiana,1,0,1983
665,2012,0,0,0,0,0,0,0,0,1,1,3.467,710,Others,WASHINGTONUNIVERSITY,History,USA,BachelorofArts,,NewYork,1,0,1981
666,2015,0,0,0,0,0,0,0,0,1,1,3.7235293,0,Unknown,UNIVERSITYPENNSYLVANIA,BiologicalSciences,USA,BachelorofArts,WhiteNon-hispanic,Connecticut,0,0,1987
667,2012,0,0,0,0,0,0,0,0,1,1,3.4489999,750,Client_oriented,UNIVERSITYPENNSYLVANIA,ForeignLanguages,USA,BachelorofArts,,California,1,0,1984
668,2012,0,0,0,0,0,0,0,0,1,1,3.053,690,Unknown,UDELOSANDES,Economics,Colombia,BachelorofArts,,NewYork,1,1,1980
669,2012,0,0,0,0,0,0,0,0,1,1,3.5050001,750,Client_oriented,PUNJABTECHNICALU,ComputerScience,India,,,ForeignCountry,1,1,1982
670,2012,0,0,0,0,0,0,0,0,1,1,3.1619999,580,Client_oriented,NORTHCAROLINASTATEUNIVERSITY,Accounting,USA,BachelorofScience,,NorthCarolina,0,0,1985
671,2012,0,0,0,0,0,0,0,0,1,1,3.523,730,Client_oriented,,Law,Australia,,,ForeignCountry,0,1,1983
672,2012,0,0,0,0,0,0,0,0,1,1,3.408,620,Others,UNIVERSITYPENNSYLVANIA,History,USA,BachelorofArts,,NewYork,0,0,1984
673,2012,0,0,0,0,0,0,0,0,1,1,3.29,670,Production,BROWNUNIVERSITY,Economics,USA,BachelorofArts,,NewYork,1,0,1981
674,2012,0,0,0,0,0,0,0,0,1,1,3.3210001,650,Investments,UNITEDSTATESMILITARYACADEMY,Management,USA,BachelorofScience,,Massachusetts,1,0,1982
675,2012,0,0,0,0,0,0,0,0,1,1,3.22,650,Investments,JOHNSHOPKINSUNIVERSITY,OtherScience,USA,BachelorofArts,,NewYork,0,0,1983
676,2012,0,0,0,0,0,0,0,0,1,1,3.0050001,620,Production,BATESCOLLEGE,Economics,USA,BachelorofArts,,Connecticut,0,0,1983
677,2012,0,0,0,0,0,0,0,0,1,1,3.217,690,Unknown,NORTHWESTERNUNIVERSITY,OtherSocial,USA,BachelorofArts,,NewYork,1,0,1980
678,2012,0,1,1,0,0,0,0,0,0,0,3.6900001,690,Investments,COLGATEUNIVERSITY,IndustrialRelations,USA,BachelorofArts,,NewYork,1,0,1981
679,2012,0,0,0,0,0,0,0,0,1,1,3.1949999,660,Investments,VILLANOVAUNIVERSITY,Finance,USA,BachelorofScience,,NewYork,0,0,1983
680,2012,0,0,0,0,0,0,0,0,1,1,3.447,640,Others,COLBYCOLLEGE,Economics,USA,BachelorofArts,,NewYork,1,0,1982
681,2012,0,0,0,0,0,0,0,0,1,1,3.3800001,710,Investments,CORNELLUNIVERSITY,Other,USA,BachelorofScience,,NewYork,1,0,1985
682,2012,0,0,0,0,0,0,0,0,1,1,3.2130001,640,Unknown,UNIVERSITYTEXAS,Engineering,USA,BachelorofScience,,Texas,1,0,1982
683,2012,0,1,1,0,0,0,0,0,0,0,3.0050001,730,Unknown,PRATTINSTITUTE,Architecture,Kuwait,,,NewYork,1,1,1984
684,2013,1,1,0,0,0,1,1,1,0,0,3.3829999,660,Production,,Engineering,Netherlands,BachelorofScience,,ForeignCountry,1,1,1981
685,2012,0,0,0,0,0,0,0,0,1,1,3.473,710,Client_oriented,UNIVCALIFORNIALOSANGELES,Economics,USA,BachelorofArts,,California,1,0,1984
686,2012,0,1,0,0,1,1,0,1,0,0,3.487,700,Client_oriented,UNACIONALDECUYO,Economics,Argentina,Other,,ForeignCountry,1,1,1979
687,2012,0,0,0,0,0,0,0,0,1,1,3.2030001,780,Unknown,NATLCHENGCHIUNIV,English,Taiwan,BachelorofArts,,ForeignCountry,0,1,1982
688,2012,0,0,0,0,0,0,0,0,1,1,3.1830001,720,Unknown,ECOLESPECIALEDESTRAVAUXPUB,Engineering,France,,,ForeignCountry,1,1,1981
689,2012,0,0,0,0,0,0,0,0,1,1,3.0880001,770,Investments,SEOULNATIONALUNIV,History,Korea,BachelorofArts,,ForeignCountry,1,1,1980
690,2012,0,0,0,0,0,0,0,0,1,1,3.279,700,Others,TRINITYUNIVERSITY,OtherBusiness,USA,BachelorofScience,,Texas,0,0,1984
691,2012,0,0,0,0,0,0,0,0,1,1,3.4200001,720,Client_oriented,NORTHWESTERNUNIVERSITY,Economics,USA,BachelorofScience,,NewYork,1,0,1984
692,2012,0,0,0,0,0,1,0,1,0,0,3.3800001,730,Others,,Engineering,Israel,BachelorofScience,,NewYork,1,1,1979
693,2012,0,0,0,0,0,0,0,0,1,1,3.536,720,Others,COLGATEUNIVERSITY,Economics,USA,BachelorofArts,,Connecticut,1,0,1984
694,2012,0,0,0,0,0,0,0,0,1,1,2.898,670,Others,UNIVERSITYCALIFORNIABERKELEY,Psychology,USA,BachelorofScience,,California,0,0,1982
695,2012,0,1,0,0,0,0,0,1,0,0,3.7249999,780,Client_oriented,CORNELLUNIVERSITY,ComputerScience,USA,BachelorofScience,,Illinois,1,0,1984
696,2012,0,0,0,0,0,0,0,0,1,1,3.4949999,720,Unknown,,Finance,Italy,BachelorofScience,,ForeignCountry,0,1,1983
697,2012,0,0,0,0,0,0,0,0,1,1,3.5,760,Client_oriented,UNIVERSITYMICHIGAN,English,USA,BachelorofArts,,NewYork,1,0,1985
698,2012,0,0,0,0,0,0,0,0,1,1,3.513,720,Others,WELLESLEYCOLLEGE,Mathematics,USA,BachelorofArts,,NewHampshire,0,0,1982
699,2012,0,0,0,0,0,0,0,0,1,1,3.4849999,700,Investments,PEPPERDINEUNIVERSITY,OtherBusiness,USA,BachelorofScience,,California,0,0,1983
700,2012,0,0,0,0,0,0,0,0,1,1,3.138,730,Others,UNIVERSITYCALIFORNIAIRVINE,Economics,USA,BachelorofArts,,NewYork,1,0,1982
701,2012,0,0,0,0,0,0,0,0,1,1,3.562,710,Others,MASSACHUSETTSINSTITUTETECHNOLOGY,Engineering,USA,BachelorofScience,,NewYork,1,0,1980
702,2012,1,1,0,0,0,1,0,0,0,1,3.2550001,770,Unknown,EASTCHINAU.OFSCIANDTECH,OtherSocial,Peop.Rep.China,BachelorofArts,,ForeignCountry,1,1,1981
703,2012,0,0,0,0,0,0,0,0,1,1,3.2030001,720,Others,YONSEIUNIV,Management,Korea,BachelorofBusinessAdministration,,ForeignCountry,0,1,1982
704,2012,0,0,0,0,0,0,0,0,1,1,3.477,730,Others,,Mathematics,Israel,,,ForeignCountry,1,1,1980
705,2012,0,0,0,0,0,0,0,0,1,1,3.7950001,690,Others,,Finance,USA,BachofCommerce,,NewYork,0,0,1985
706,2012,0,0,0,0,0,0,0,0,1,1,3.4289999,710,Others,TUFTSUNIVERSITY,English,USA,BachelorofArts,,NewYork,0,0,1983
707,2012,0,0,0,0,0,0,0,0,1,1,3.562,720,Unknown,,Management,Italy,BachelorofArts,,ForeignCountry,1,1,1986
708,2012,0,0,0,0,0,0,0,0,1,1,3.0550001,700,Investments,HARVARDUNIVINSTINTRNT'LDEV,History,USA,BachelorofArts,,NewYork,0,0,1981
709,2012,0,0,0,0,0,0,0,0,1,1,3.2650001,740,Unknown,UNIVERSITYSOUTHERNCALIFORNIA,OtherBusiness,USA,BachelorofScience,,California,1,0,1985
710,2012,0,0,0,0,0,0,0,0,1,1,3.05,670,Unknown,UNITEDSTATESAIRFORCEACADEMY,Management,USA,BachelorofScience,,NewYork,1,0,1983
